# Wall shear stress
# Time          	patch           	min             	max             
0               	topWall	(0.00000000e+00 0.00000000e+00 0.00000000e+00)	(0.00000000e+00 0.00000000e+00 0.00000000e+00)
0               	bottomWall	(-2.13504528e+02 0.00000000e+00 0.00000000e+00)	(-2.13504528e+02 0.00000000e+00 0.00000000e+00)
1000            	topWall	(-3.91349126e-09 -8.68963465e-07 0.00000000e+00)	(1.27643688e-08 -1.28623457e-08 0.00000000e+00)
1000            	bottomWall	(-4.86344460e+01 -9.22829675e-01 0.00000000e+00)	(-8.47990432e+00 1.92384039e-07 0.00000000e+00)
2000            	topWall	(-5.60622916e-09 -1.58367504e-06 0.00000000e+00)	(1.98257513e-08 -1.91180934e-08 0.00000000e+00)
2000            	bottomWall	(-4.86140829e+01 -9.22610979e-01 0.00000000e+00)	(-7.85994496e+00 1.29695008e-09 0.00000000e+00)
3000            	topWall	(-6.09672016e-09 -2.18254970e-06 0.00000000e+00)	(2.43223933e-08 -2.37622057e-08 0.00000000e+00)
3000            	bottomWall	(-4.86070810e+01 -9.22534639e-01 0.00000000e+00)	(-7.43561934e+00 -1.21955663e-07 0.00000000e+00)
4000            	topWall	(-5.88030004e-09 -2.63614296e-06 0.00000000e+00)	(2.70284213e-08 -2.66589510e-08 0.00000000e+00)
4000            	bottomWall	(-4.86040219e+01 -9.22500517e-01 0.00000000e+00)	(-7.11793647e+00 -1.84556331e-07 0.00000000e+00)
5000            	topWall	(-5.39503018e-09 -2.96738140e-06 0.00000000e+00)	(2.86543363e-08 -2.82867238e-08 0.00000000e+00)
5000            	bottomWall	(-4.86025233e+01 -9.22483650e-01 0.00000000e+00)	(-6.86871654e+00 -2.62619977e-07 0.00000000e+00)
